oldID,newID
Ach.mil,Ach.mil
Aco.sep,Aco.sep
Agr.cap,Agr.cap
Agr.mer,Agr.mer
Aju.pyr,Aju.pyr
Alc.alp,Alc.alp
Alc.alp.1,Alc.alp
Alc.sp,Alc.sp
Alch.sp,Alc.sp
Alp.art,Jun.alp
Alternate,Sal.her
Ane.nem,Ane.nem
Anem.nemo,Ane.nem
Ant.alp,Ant.dio
Ant.dio,Ant.dio
Ant.odo,Ant.odo
Arc.alp,Arc.alp
Arc.uva,Arc.uva
Arc.uva.ursi,Arc.uva
Ast.alp,Ast.alp
Ave..pub,Ave.pub
Ave.fle,Ave.fle
Ave.pra,Ave.pra
Avenu..pub,Ave.pub
Bar.alp,Bar.alp
Bart.alp,Bar.alp
Bet,Bet.pub
Bet.nan,Bet.nan
Bet.pub,Bet.pub
Bis.viv,Bis.viv
Bot.lun,Bot.lun
Botrych,Bot.lun
Cal.vul,Cal.vul
Call,Cal.vul
Cam.rot,Cam.rot
Cap.bur,Cap.bur
Caps.b.p,Cap.bur
Car..nor,Car.nor
Car.atr,Car.atr
Car.atr.1,Car.atr
Car.atra,Car.atr
Car.big,Car.big
Car.cap,Car.cap
Car.car,Caru.car
Car.dio,Car.dio
Car.ech,Car.ech
Car.fla,Car.fla
Car.lep,Car.lep
Car.mork,Car.nor
Car.nig,Car.nig
Car.nigra,Car.nig
Car.nor,Car.nor
Car.ova,Car.lep
Car.pal,Car.pal
Car.pan,Car.pan
Car.pau,Car.pul
Car.pauc,Car.pul
Car.pil,Car.pil
Car.pul,Car.pul
Car.pulic,Car.pul
Car.rup,Car.rup
Car.sax,Car.sax
Car.ser,Car.ser
Car.sp,Car.sp
Car.vag,Car.vag
Carex.sp,Car.sp
Caru.car,Caru.car
Caru.carv,Caru.car
Caryoph..eng.,Dia.del
Cer.alp,Cer.alp
Cer.cer,Cer.cer
Cer.fon,Cer.fon
Cer.fon.1,Cer.fon
Cer.gla,Cer.cer
Cer.sp,Cer.sp
Cham.alp,Cha.alp
Cir.pal,Cir.pal
Cirs,Cir.pal
Cirs.pal,Cir.pal
Coe.vir,Coe.vir
Com.ten,Com.ten
Dac.alp,Dac.glo
Dac.glo,Dac.glo
Dant.dec,Dan.dec
Des.alp,Des.alp
Des.ces,Des.ces
Des.fle,Ave.fle
Dia.del,Dia.del
Dia.del.1,Dia.del
Dia.glo,Dac.glo
Dianthus,Dia.del
Dianthus.sp,Dia.del
Dro.rot,Dro.rot
Dry.oct,Dry.oct
Dry.okt,Dry.oct
Dryopteris,Dry.sp
Emp,Emp.her
Emp.her,Emp.her
Emp.nig,Emp.her
Epi.ana,Epi.ana
Epi.sp,Epi.sp
Epilob.sp,Epi.sp
Equi.arv,Equ.arv
Eri.uni,Eri.uni
Erig.unif,Eri.uni
Erigeron,Eri.uni
Eup.fri,Eup.sp
Eup.sp,Eup.sp
Eup.str,Eup.sp
Euph.fri,Eup.sp
Euph.sp,Eup.sp
Euph.str,Eup.sp
Euph.str.1,Eup.sp
Euph.wet,Eup.sp
Fes.ovi,Fes.ovi
Fes.ovi.1,Fes.ovi
Fes.rub,Fes.rub
Fes.viv,Fes.viv
Filip.ulm,Fil.ulm
Fra.ves,Fra.ves
Frag.ves,Fra.ves
Gal.4,Gal.bor
Gal.bor,Gal.bor
Gal.sax,Gal.sax
Gal.sp,Gal.sp
Gal.uli,Gal.uli
Gal.ver,Gal.ver
Galium.4,Gal.bor
Gen.ama,Gen.ama
Gen.cam,Gen.cam
Gen.niv,Gen.niv
Gen.pur,Gen.pur
Gen.sp,Gen.sp
Gen.ten,Com.ten
Gent.sp,Gen.sp
Ger.syl,Ger.syl
Geranium,Ger.syl
Geu.riv,Geu.riv
Geu.urb,Geu.riv
Geum,Geu.riv
Geum.urb,Geu.urb
Gram.sp,NID.gram
Graminoid,NID.gram
Gras,NID.gram
Grass.seedling,NID.gram
Gym.dry,Gym.dry
Halvgras,Car.sp
Hie.alp,Hie.alp
Hie.pil,Hie.pil
Hie.sp,Hie.sp
Hie.umb,Hie.umb
Hie.vul,Hie.vul
Hie.vulg,Hie.vul
Hier.sp,Hie.sp
Hir.vul,Hie.vul
Hup.sel,Hup.sel
Hyp.mac,Hype.mac
Hypo.mac,Hypo.mac
Hypo.rad,Hypo.rad
Jun.alp,Jun.alp
Jun.alp.art,Jun.alp
Jun.art,Jun.alp
Jun.com,Jun.com
Jun.fili,Jun.fil
Jun.tri,Jun.tri
Junip,Jun.com
Kna.arv,Kna.arv
Kob.sim,Kob.sim
Kobresia,Kob.sim
L..spi,Luz.spi
Lauc.vul,Leu.vul
Leo.aut,Leo.aut
Leo.vul,Leo.vul
Leu.c,Leu.vul
Leu.vul,Leu.vul
Linar.sp,Lin.vul
Linar.vulg,Lin.vul
Loi.pro,Loi.pro
Lot.cor,Lot.cor
Lotus,Lot.cor
Luz.mul,Luz.mul
Luz.pil,Luz.pil
Luz.sp,Luz.sp
Luz.spi,Luz.spi
Luz.spi.1,Luz.spi
Lych alp,Vis alp
Lych.alp,Vis.alp
Lych.vis,Vis.vul
Mel.pra,Mel.pra
Mel.sp,Mel.sp
Mel.syl,Mel.syl
Min.bif,Min.bif
Mol.cae,Mol.cae
Mot.caen..,Mol.cae
Mots,Ste.gra
Mots.blad,Ver.alp
Mots.II..Epi..Ste.med..Ver.alp.,Ver.alp
Myos,Myo.dec
Myosotis,Myo.dec
Myosotis.cf,Myo.dec
Nar.str,Nar.str
Nar.stri,Nar.str
Nid.blad,NID.herb
Nid.gram,NID.gram
Nid.herb,NID.herb
Nid.rosett,NID.rosett
Nid.seedling,NID.seedling
Noc.cae,Noc.cae
Noc.cae.1,Noc.cae
Oma..ei.nerv.,Oma.syl
Oma.nor,Oma.nor
Oma.sup,Oma.sup
Oma.syl,Oma.syl
Ort.sec,Ort.sec
Oxa.ace,Oxa.ace
Oxy.dig,Oxy.dig
Oxy.lap,Oxy.lap
Par.pal,Par.pal
Par.pal.1,Par.pal
Phl.alp,Phl.alp
Phl.pra,Phl.pra
Phl.sp,Phl.sp
Phle.alp,Phl.alp
Phle.prat,Phl.pra
Phleum.haret,Ant.odo
Phy.cae,Phy.cae
Phyll.caer,Phy.cae
Pic.abi,Pic.abi
Picea.abies,Pic.abi
Pim.sax,Pim.sax
Pimp,Pim.sax
Pin.alp,Pin.vul
Pin.vul,Pin.vul
Pin.vul.1,Pin.vul
Ping.sp,Pin.vul
Pinguicula,Pin.vul
Pinus.sp,Pin.syl
Pla.lan,Pla.lan
Pla.maj,Pla.maj
Pla.med,Pla.med
Poa.alp,Poa.alp
Poa.ann,Poa.ann
Poa.pra,Poa.pra
Poa.prat,Poa.pra
Poacea.seedl,NID.gram
Poaceae.sp,NID.gram
Pot.arg,Pot.arg
Pot.cra,Pot.cra
Pot.ere,Pot.ere
Pru.vul,Pru.vul
Prun,Pru.vul
Pyr.avl,Pyr.min
Pyr.mig,Pyr.min
Pyr.min,Pyr.min
Pyr.nor,Pyr.rot
Pyr.nor.rund,Pyr.rot
Pyr.rot,Pyr.rot
Pyr.sp,Pyr.sp
Pyrola sp,Pyr.sp
Pyrola.rund,Pyr.rot
Pyrola.sp,Pyr.sp
Ran.acr,Ran.acr
Ran.aur,Ran.aur
Ran.rep,Ran.rep
Rhi.min,Rhi.min
Rhianthus,Rhi.min
Rhin.min,Rhi.min
Rhinant,Rhi.min
Rho.ros,Rho.ros
Rodhiola,Rho.ros
Rosett,NID.rosett
Rosett.uten.skaft,NID.rosett
Rub.ida,Rub.ida
Rub.idae,Rub.ida
Rubus,Rub.ida
Rum.ac.la,Rum.acl
Rum.ace,Rum.ace
Ryll.siv,Jun.alp
Sag,Sag.sp
Sag.pro,Sag.sp
Sag.sag,Sag.sp
Sag.sp,Sag.sp
Sal.her,Sal.her
Sal.lan,Sal.sp
Sal.lap,Sal.sp
Sal.phyl,Sal.phy
Sal.ret,Sal.ret
Sal.sp,Sal.sp
Salix.gr<e5>,Sal.sp
Salix.sp,Sal.sp
Sau.alp,Sau.alp
Saus.alp,Sau.alp
Sax.aiz,Sax.aiz
Sax.ces,Sax.ces
Sax.opp,Sax.opp
Sax.pim,Pim.sax
Scir.ces,Tri.ces
Scir.cue,Tri.ces
Sed.acr,Sed.acr
Sedum,Sed.acr
Sedum.sp,Sed.acr
seed.unid,NID.seedling
Seedling,NID Seedling
Seedling...Alc.alp.Pot.,NID Seedling
Seedling.1,NID Seedling
Seedling.2,NID Seedling
Seedling.3,NID Seedling
Seedling.4,NID Seedling
Seedling.5,NID Seedling
Seedling.6,NID Seedling
Sel.sel,Sel.sel
Selaginella,Sel.sel
Sib,Sib.pro
Sib.pro,Sib.pro
Sil.aca,Sil.aca
Sil.prat,Sil.vul
Sil.vul,Sil.vul
Skafta.Rosetten.fra.fr<f8>banken,Noc.cae
Sol.vir,Sol.vir
Solidago,Sol.vir
Sor.auc,Sor.auc
Sorb.auc,Sor.auc
Sorbus,Sor.auc
Ste.gra,Ste.gra
Ste.med,Ste.med
Suc.pra,Suc.pra
Tar.sp,Tar.sp
Tarax,Tar.sp
Tha.alp,Tha.alp
Thal,Tha.alp
Thalict,Tha.alp
Thalictrum,Tha.alp
Thlaspi..arv,Thl.arv
Tof.pal,Tof.cal
Tof.pus,Tof.pus
Tri.ces,Tri.ces
Tri.med,Tri.med
Tri.mon,Tri.med
Tri.pra,Tri.pra
Tri.pra.1,Tri.pra
Tri.rep,Tri.rep
Tri.sp,Tri.sp
Trien.eur,Tri.eur
Vac.myr,Vac.myr
Vac.sp,Vac.myr
Vac.uli,Vac.uli
Vac.vit,Vac.vit
Valeriana,Val.sam
Ver.alp,Ver.alp
Ver.arv,Ver.arv
Ver.cha,Ver.cha
Ver.fru,Ver.fru
Ver.off,Ver.off
Ver.ser,Ver.ser
Ver.serp,Ver.ser
Ver.sp,Ver.sp
Vic.cra,Vic.cra
Vic.fla,Vic.cra
Vic.sep,Vic.sep
Vio.bif,Vio.bif
Vio.can,Vio.can
Vio.pal,Vio.pal
Vio.riv,Vio.riv
Vio.sp,Vio.sp
Vio.tri,Vio.tri
Viol.sp,Vio.sp
Vis.vul,Vis.vul
Visc.vul,Vis.vul
